district,jowar,bajra,maize,barley,small millets,ragi,arhar,moong,masur,urd,peas,khesari,other pulses,gram products,besan,other pulse products
Longleng,0.065825418,0.341224582,0,0,0,0,0,0.05535929,0.18887071,0,0,0,0,0,0,0
Peren,0.04827952,0.25027048,0,0,0,0,0,0.040603159,0.138526841,0,0,0,0,0,0,0
Senapati,0.317988706,0,0,0.119928807,0.116390787,0.0551417,0.081056543,0,0,0.119928807,0,0,0,0.044755844,0.119928807,0
Tamenglong,0,0.070964105,0.163785895,0,0,0,0,0,0,0,0.14085,0,0,0,0,0
Churachandpur,0.242044454,1.254705546,0,0,0,0,0,0.2035598,0.6944902,0,0,0,0,0,0,0
Bishnupur,0.899520108,0,0,0.339252215,0.329243936,0.155983741,0.229291131,0,0,0.339252215,0,0,0,0.126604438,0.339252215,0
Thoubal,1.164862886,0,0,0.439325715,0.426365167,0.201996231,0.296928025,0,0,0.439325715,0,0,0,0.163950545,0.439325715,0
Imphal West,0,0,0,0,1.9114,0,0,0,0,0,0,0,0,0,0,1.14684
Imphal East,1.614779469,0,0,0.609010858,0.591044428,0.280015245,0.41161349,0,0,0.609010858,0,0,0,0.227274795,0.609010858,0
Ukhrul,0,0.135035849,0.311664151,0,0,0,0,0,0,0,0.26802,0,0,0,0,0
Chandel,0.053308805,0.276341195,0,0,0,0,0,0.044832796,0.152957204,0,0,0,0,0,0,0
Mamit,0.145849269,0.756050731,0,0,0,0,0,0.122659485,0.418480515,0,0,0,0,0,0,0
Kolasib,0.111703495,0.579046505,0,0,0,0,0,0.093942831,0.320507169,0,0,0,0,0,0,0
Aizawl,0,0.959292614,2.214057386,0,0,0,0,0,0,0,1.90401,0,0,0,0,0
Champhai,0.168392109,0.872907891,0,0,0,0,0,0.141618052,0.483161948,0,0,0,0,0,0,0
Serchhip,0.110450217,0.572549783,0,0,0,0,0,0.092888821,0.316911179,0,0,0,0,0,0,0
Lunglei,0,0.488632071,1.127767929,0,0,0,0,0,0,0,0.96984,0,0,0,0,0
Lawngtlai,0.154387733,0.800312267,0,0,0,0,0,0.129840348,0.442979652,0,0,0,0,0,0,0
Saiha,0,0,0,0,0.6861,0,0,0,0,0,0,0,0,0,0,0.41166
West Tripura,3.077518213,15.953181787,0,0,0,0,0,2.588198088,8.830221912,0,0,0,0,0,0,0
South Tripura,1.583901387,8.210598613,0,0,0,0,0,1.33206378,4.54463622,0,0,0,0,0,0,0
