District,Median Income,Latitude,Longitude,jowar,bajra,maize,barley,small millets,ragi,arhar,moong,masur,urd,peas,khesari,gram products,besan,Cluster
Pratapgarh,793,12.9486519,40.972649049999994,2.0,0.0,1.99,0.25,0.0,0.0,2.41,0.51,0.88,0.83,2.48,0.5,0.0,0.61,2
Kaushambi,812,12.680527,40.70158535,0.0,14.2,0.0,0.0,0.0,0.0,1.78,0.82,0.0,0.64,1.95,0.0,0.0,0.55,1
Allahabad,"1,069",12.717900550000001,40.9231555,0.0,2.97,0.0,0.0,0.0,0.0,1.98,0.42,0.4,0.64,2.62,1.0,5.0,0.77,2
Barabanki,815,13.47000005,40.595,1.0,1.0,1.95,0.0,0.0,0.0,2.12,0.74,0.64,1.39,1.93,0.5,0.0,0.5,2
Faizabad,"1,027",13.3866238,41.07208214999999,0.0,0.0,0.5,0.25,0.0,0.0,1.69,0.39,0.35,0.88,4.87,0.25,0.0,0.75,2
Ambedkar Nagar,"1,106",13.2341976,41.34577145,0.0,0.0,3.51,0.0,0.0,0.0,2.35,1.67,0.23,1.56,4.8,0.0,0.0,0.83,2
Sultanpur,"1,146",13.132387849999999,41.03635305,0.0,0.0,6.5,0.0,0.0,0.0,3.16,0.53,1.21,1.24,3.88,1.0,0.0,0.67,2
Bahraich,867,13.78541885,40.799012299999994,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.03,1.21,1.34,1.99,3.0,0.0,0.62,2
Shrawasti,776,13.798875199999998,40.97674075,0.0,0.0,0.0,0.0,0.0,0.0,2.15,0.97,1.33,0.78,1.42,1.0,0.0,0.73,2
Balrampur,969,13.7148532,41.088400899999996,0.0,0.0,0.0,0.0,0.0,0.0,2.88,0.81,1.1,0.95,2.04,0.0,0.0,1.07,2
Gonda,947,13.56699565,40.9809484,0.0,0.0,1.25,0.0,0.0,0.0,2.53,0.72,0.9,1.1,1.96,0.0,0.0,0.66,2
Siddharthnagar,859,13.635781650000002,41.410486999999996,0.0,0.0,0.0,0.0,0.0,0.0,1.45,0.0,0.91,1.0,3.46,0.0,0.0,0.69,2
Basti,725,13.4088398,41.38165665,0.0,0.0,0.0,0.0,0.0,0.0,1.59,0.5,0.85,1.31,3.99,0.0,0.0,0.73,2
Sant Kabir Nagar,"1,014",13.38358775,41.518068799999995,0.0,0.0,1.0,0.0,0.0,0.0,1.63,0.5,1.59,1.4,3.33,3.77,0.0,0.53,2
Mahrajganj,962,13.57230175,41.78108685,0.0,0.0,0.0,0.0,0.0,0.0,1.53,1.92,1.83,1.83,2.19,1.33,0.0,0.57,2
Gorakhpur,"1,015",13.380277249999999,41.686583750000004,0.0,0.0,0.52,0.0,0.0,0.0,2.86,0.28,0.94,1.59,2.97,1.0,0.0,0.5,2
Kushinagar,"1,010",13.369939350000001,41.9434849,0.0,0.0,0.0,0.0,2.5,0.0,2.34,0.49,1.69,0.5,2.11,1.27,0.0,0.78,2
Deoria,901,13.243118650000001,41.891910700000004,0.0,0.0,4.37,0.0,0.0,0.0,2.95,0.5,1.11,0.0,1.63,1.0,0.0,0.57,2
Azamgarh,873,13.0368522,41.5929729,0.0,0.25,2.28,0.3,0.0,0.0,2.1,0.35,1.96,3.0,3.42,0.0,0.5,0.62,2
Mau,959,12.97481895,41.77932225,0.0,0.0,5.01,5.0,0.0,0.0,2.15,0.0,0.63,1.0,2.96,4.0,0.0,0.68,2
Ballia,933,12.879219050000001,42.07436595,8.0,0.0,13.64,0.1,0.0,0.0,1.88,1.79,1.71,0.75,3.09,1.68,0.79,0.59,0
Jaunpur,966,12.8745017,41.3493501,0.0,0.0,6.71,0.0,0.0,0.0,2.54,0.46,0.4,1.14,3.08,4.0,0.0,0.83,2
Ghazipur,"1,029",12.79202095,41.7885101,0.0,2.83,0.0,0.0,0.0,0.0,2.64,0.85,1.84,0.55,3.78,6.0,0.0,0.74,2
Chandauli,"1,092",12.6302278,41.63313365,0.0,0.0,0.0,0.0,0.0,0.0,2.04,0.62,0.76,0.44,2.81,5.0,0.0,0.56,2
Varanasi,"1,210",12.658822599999999,41.486957200000006,2.46,1.0,0.0,0.0,0.0,0.0,2.96,0.74,1.43,0.81,2.62,1.71,0.39,0.64,2
Sant Ravidas Nagar,843,12.6631865,41.21597025,0.0,7.65,1.0,0.0,0.0,0.0,2.75,1.4,1.51,0.89,2.53,0.25,0.0,0.72,2
Mirzapur,952,12.56684935,41.282217200000005,1.09,9.1,0.0,0.0,0.0,0.0,3.3,0.5,0.97,1.01,2.59,0.0,8.0,0.92,2
Sonbhadra,974,12.34250025,41.534175950000005,0.0,0.0,10.13,0.0,11.81,0.0,2.22,0.7,2.06,1.68,2.06,0.0,0.0,0.6,2
Kashiramnagar,"1,402",13.89397495,39.28387765,0.0,16.2,1.56,0.0,0.0,0.0,1.28,0.78,1.16,0.8,0.92,1.0,0.0,0.62,1
Pashchim Champaran,978,13.52524415,41.8693715,0.0,0.0,5.01,0.0,0.0,0.0,0.98,1.47,1.49,0.0,0.5,0.69,0.32,0.47,2
Purba Champaran,929,13.318719250000001,42.1636461,0.0,3.16,2.39,1.97,0.0,0.0,0.97,0.88,1.31,0.5,0.52,0.98,0.99,0.68,2
Sheohar,750,13.257293599999999,42.647115649999996,0.0,0.0,2.7,0.0,5.0,0.0,1.23,1.48,1.8,1.0,1.0,1.38,0.69,0.62,2
Sitamarhi,684,13.297623800000002,42.74041964999999,0.0,0.78,1.04,0.0,0.0,0.0,0.91,0.87,1.54,1.23,1.34,0.93,0.5,0.26,2
Madhubani,976,13.173427199999999,43.0357737,0.0,0.5,1.44,4.0,0.0,0.0,1.74,0.97,1.23,1.28,0.15,1.11,0.42,0.29,2
Supaul,"1,091",13.06585435,43.305355299999995,0.0,0.0,1.53,0.5,0.0,0.0,0.64,2.24,1.71,1.24,2.0,0.5,0.51,0.21,2
Araria,995,13.06556875,43.722767,0.0,1.0,1.96,0.46,0.0,0.0,1.05,1.38,1.56,0.97,1.02,1.0,1.0,0.69,2
Kishanganj,976,13.0458711,43.9691911,0.0,0.0,2.09,0.0,0.0,0.0,0.91,0.92,1.41,0.96,1.0,1.0,0.0,0.47,2
Purnia,965,12.88856955,43.73762755,0.0,0.0,2.27,0.0,0.0,0.0,1.39,1.81,1.42,0.58,1.04,0.5,0.87,0.36,2
Katihar,946,12.776024000000001,43.78593045,0.0,0.0,2.0,0.0,0.0,0.0,1.11,1.21,1.53,0.52,1.31,1.0,0.75,0.77,2
Madhepura,"1,307",12.964345150000002,43.39548795,0.0,0.0,1.33,0.5,0.0,0.0,1.19,1.78,1.71,1.03,0.5,0.5,0.5,0.29,2
Saharsa,"1,209",12.941748050000001,43.30031245000001,0.0,0.0,3.16,0.0,0.0,0.0,0.99,1.94,1.81,2.0,2.0,0.5,0.0,1.28,2
Darbhanga,889,13.055933999999999,42.948002,0.0,0.0,1.94,0.0,0.0,0.0,1.36,0.97,1.7,1.12,0.0,1.0,0.47,0.3,2
Muzaffarpur,938,13.060443800000002,42.68236004999999,0.0,0.0,4.51,0.0,0.0,0.0,1.65,0.96,1.79,0.0,0.7,1.45,0.52,0.55,2
Gopalganj,888,13.2342736,42.2216659,0.0,0.0,3.11,0.0,0.0,0.0,1.03,1.52,1.46,1.0,1.06,1.96,0.39,0.53,2
Siwan,891,13.10981025,42.17832965,0.0,0.0,2.33,0.0,0.0,0.0,1.6,1.65,1.7,1.0,0.0,1.3,4.86,0.32,2
Saran,"1,007",13.02511165,42.31250995,0.0,2.85,2.49,0.0,0.0,0.0,1.9,1.11,1.7,0.0,1.83,0.82,0.0,0.71,2
Vaishali,"1,320",13.0019089,42.540891249999994,0.0,0.0,1.99,0.0,0.0,0.0,1.85,1.15,2.54,1.5,1.4,3.07,0.31,0.49,2
Samastipur,"1,051",12.931483949999999,42.89051315,0.0,0.0,3.63,0.0,0.0,0.0,1.52,0.93,1.46,1.14,0.3,0.0,0.53,0.28,2
Begusarai,"1,022",12.7083375,43.0646896,0.0,0.0,3.67,0.0,0.0,0.0,1.68,0.69,1.39,1.0,0.25,0.0,0.38,0.3,2
Khagaria,"1,161",12.75557575,43.238454,0.0,0.0,2.48,0.0,0.0,0.0,1.59,1.18,1.57,0.0,1.33,0.0,0.24,0.33,2
Bhagalpur,857,12.62071515,43.4962179,0.0,0.0,10.47,0.0,0.0,0.0,1.92,1.02,1.97,3.84,2.15,1.62,0.99,0.79,2
Banka,929,12.44370895,43.459919,0.0,0.0,3.08,0.0,0.0,0.0,1.79,1.06,1.63,0.93,1.05,2.06,0.61,0.54,2
Munger,749,12.687378050000001,43.236762549999995,0.0,6.0,3.85,0.0,0.0,0.0,2.35,1.01,1.87,5.0,2.3,1.97,1.51,0.33,2
Lakhisarai,989,12.583680699999999,43.04941265,0.0,0.0,1.57,0.0,0.0,0.0,1.36,0.37,1.87,0.5,1.72,2.13,0.74,0.54,2
Sheikhpura,888,12.57084685,42.93144575,0.0,0.0,2.41,0.0,0.0,0.0,1.36,0.63,1.97,0.5,0.62,2.79,0.92,0.61,2
Nalanda,908,12.56203015,42.72973745,0.0,0.0,3.0,0.0,0.0,0.0,1.87,2.56,2.4,0.24,0.52,1.31,0.99,0.61,2
Patna,"1,061",12.79704735,42.56878225,0.0,4.92,4.08,0.0,0.0,0.0,1.86,0.97,2.23,0.99,0.87,1.79,0.83,0.53,2
Bhojpur,810,12.7330775,42.26110945,0.0,10.0,4.78,0.0,0.0,0.0,1.62,1.96,2.0,2.0,1.0,2.12,0.71,0.64,2
Buxar,848,12.78235515,41.988874100000004,0.0,0.0,2.0,0.0,0.5,0.0,1.14,0.37,1.98,1.0,0.99,1.76,1.5,0.41,2
Kaimur (Bhabua),938,12.52131135,41.802786600000005,0.0,0.0,5.0,0.0,0.0,0.0,1.78,0.99,1.96,1.18,1.47,1.71,0.5,0.75,2
Rohtas,831,12.31437025,41.960082799999995,0.0,0.0,2.53,10.0,0.0,0.0,1.14,1.61,2.07,2.0,0.39,1.56,1.59,0.47,2
Jehanabad,"1,001",12.606964349999998,42.49477745000001,0.0,0.0,1.78,0.0,0.0,0.0,1.26,0.97,2.64,0.46,0.5,0.0,0.78,0.49,2
Aurangabad,888,12.37750415,42.18041865,0.0,0.0,3.0,0.0,0.0,0.0,1.35,0.5,2.25,0.91,0.88,1.09,0.5,0.51,2
Gaya,"1,025",12.39772615,42.4997155,0.0,0.0,1.7,0.0,2.1,0.0,1.37,1.72,2.71,0.84,0.89,2.34,0.96,0.49,2
Nawada,"1,024",12.445538749999999,42.7677362,0.0,0.0,3.0,0.0,0.0,0.0,1.22,2.05,2.25,0.31,1.02,0.0,0.0,0.48,2
Jamui,785,12.45975735,43.112359000000005,2.0,0.0,2.85,2.0,0.0,0.0,1.13,1.93,1.85,3.0,1.65,3.96,1.55,0.36,2
Arwal,886,12.622009449999998,42.33310995,0.0,0.0,3.0,0.0,0.0,20.0,1.42,2.53,2.83,0.47,1.48,1.33,0.5,0.67,5
North Sikkim,"1,622",13.911817800000001,44.2782655,0.0,0.0,2.97,2.0,4.0,0.0,1.0,0.87,1.44,0.0,1.7,0.0,0.0,0.25,2
West Sikkim,"1,415",13.680030800000003,43.94784225,0.0,0.0,3.38,1.5,7.98,0.0,0.57,1.13,1.23,1.0,1.57,0.0,0.0,0.39,2
South Sikkim,"1,320",13.65397165,44.066149200000005,0.0,0.0,3.29,0.0,3.81,0.0,0.64,1.01,1.27,0.0,0.57,0.0,0.86,0.3,2
East Sikkim,"2,125",13.6418171,44.2694969,0.0,0.0,2.21,0.0,11.77,0.0,0.76,0.74,1.13,0.64,0.54,0.0,0.8,0.41,2
Tawang,"2,640",13.789033900000002,45.9378711,0.0,0.0,2.63,0.0,5.35,0.0,1.0,1.48,1.99,0.0,1.0,0.0,0.0,0.0,2
West Kameng,"2,511",13.67138165,46.151223,3.0,0.0,11.67,0.0,8.94,0.0,1.17,2.17,1.91,2.0,2.51,0.0,3.35,3.0,2
East  Kameng,"1,660",13.71156305,46.5087856,0.0,0.0,17.91,0.0,33.79,0.0,0.0,1.52,2.94,0.0,3.91,0.0,0.0,0.0,0
Papum Pare,"2,922",13.585950949999999,46.8514501,0.0,0.0,8.15,0.0,0.0,0.0,1.33,1.46,2.22,1.0,1.37,0.0,0.0,0.58,2
Lower Subansiri,"1,509",13.80846745,46.91957785,0.0,0.0,5.01,0.0,14.25,0.0,0.0,2.15,2.22,0.0,2.29,0.0,0.0,0.0,2
Upper Subansiri,"1,858",13.893401,47.16798175,0.0,0.0,8.98,0.0,16.69,0.0,3.5,1.43,2.19,2.0,2.57,0.0,1.0,1.0,2
West Siang,"1,020",14.073626999999998,47.3742259,0.0,0.0,8.73,0.0,12.47,0.0,1.64,0.79,1.25,0.81,1.01,0.0,0.0,0.69,2
East Siang,"1,749",14.054852550000001,47.5716034,0.0,0.0,11.2,0.0,10.0,0.0,1.7,1.53,1.6,1.4,1.15,0.0,0.0,1.23,2
Upper Siang,"2,619",14.37943905,47.61333375,0.0,0.0,3.79,0.0,3.0,0.0,1.61,1.15,1.78,0.0,3.88,0.0,0.0,0.0,2
Dibang Valley,"1,470",14.40643835,48.07634925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54,2.0,0.0,0.0,0.0,0.0,0.0,2
Lohit,"1,008",13.95198255,48.0869558,0.0,0.0,0.0,0.0,0.0,0.0,1.58,1.22,2.39,1.25,2.0,0.0,1.0,0.45,2
Changlang,936,13.565292800000002,47.86711865,0.0,0.0,4.16,0.0,3.0,0.0,1.23,0.86,1.27,1.08,1.06,0.0,2.0,0.31,2
Tirap,812,13.497135149999998,47.77036495000001,5.0,0.0,3.24,0.0,4.85,20.0,1.34,1.95,1.06,2.0,0.81,0.0,0.0,0.31,5
Anjaw,880,13.62843785,47.9679689,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.61,0.0,2.0,0.0,0.0,0.0,2
Kurungkumey,"1,024",13.9494839,46.67574315,0.0,0.0,8.83,0.0,19.86,0.0,0.0,1.05,1.79,0.0,0.0,0.0,0.0,0.0,2
Lower Dibang Valley,"1,543",14.0714364,47.9215509,0.0,2.0,6.64,0.0,12.0,0.0,1.98,1.18,1.43,1.19,1.0,0.0,0.0,0.53,2
Mon,"1,781",13.361286999999999,47.5156249,0.0,0.0,7.27,0.0,0.0,0.0,0.0,1.13,1.26,0.0,0.5,0.0,0.0,0.0,2
Tuensang,"1,738",13.1178711,47.40659315,0.0,0.0,5.16,0.0,0.0,0.0,0.5,1.34,1.62,1.0,0.0,0.0,0.0,0.0,2
Mokokchung,"1,586",13.161017900000001,47.256731450000004,0.0,0.0,0.0,0.0,0.0,0.0,1.35,1.1,1.48,0.0,1.0,0.0,0.0,0.0,2
Zunheboto,"1,619",13.00464155,47.26188535,0.0,0.0,3.87,0.0,0.5,0.0,0.5,1.14,1.13,0.0,0.92,0.0,0.0,0.0,2
Wokha,"1,654",13.045517550000001,47.1294869,0.0,0.0,2.54,0.0,0.0,0.0,0.0,1.03,1.19,0.5,0.7,0.0,0.0,0.0,2
Dimapur,"2,226",12.93149425,46.876833149999996,0.0,0.0,7.85,0.0,0.0,0.0,0.0,1.25,1.93,0.0,0.86,0.0,0.0,2.0,2
Kohima,"2,278",12.829298150000001,47.05266535,0.0,0.0,10.74,0.0,0.0,0.0,0.94,1.26,1.32,1.24,0.58,0.0,0.0,0.0,2
Phek,"1,647",12.8497459,47.230615,0.0,0.0,2.04,0.0,0.0,0.0,1.28,0.84,1.04,0.0,0.65,0.0,0.0,0.0,2
Kiphire,"1,704",12.93445425,47.3926706,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1.35,0.91,0.0,1.0,0.0,0.0,0.0,0
Longleng,"1,893",13.245099599999998,47.409832,0.0,0.0,8.41,0.0,5.0,0.0,1.04,0.9,1.19,0.0,0.5,0.0,0.5,0.0,2
Peren,"1,416",12.7562386,46.869532899999996,0.0,0.0,2.31,0.0,0.0,0.0,0.5,1.42,1.21,0.0,0.8,0.0,1.0,0.0,2
Senapati,925,12.6338638,47.01050945,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.93,0.52,1.26,1.0,0.0,0.49,2
Tamenglong,"1,397",12.4939671,46.747646,0.0,0.0,0.0,0.0,0.0,0.0,0.95,1.43,1.19,1.18,1.84,1.17,1.5,1.0,2
Churachandpur,"1,324",12.17137425,46.848913200000005,0.0,0.0,1.5,0.0,0.0,0.0,0.48,1.56,1.6,0.46,1.14,0.94,0.72,0.39,2
Bishnupur,"1,133",12.31518015,46.8799144,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.71,0.77,0.7,0.9,0.67,0.99,0.73,2
Thoubal,"1,394",12.322462150000002,46.999645,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.5,0.63,0.45,0.88,1.09,0.92,0.63,2
Imphal West,"1,406",12.39139185,46.942947749999995,0.0,0.0,1.24,0.0,90.0,0.0,0.46,0.51,0.53,0.66,0.71,0.88,0.57,0.5,3
Imphal East,"1,349",12.3903268,46.98371855,0.0,0.0,2.0,2.0,0.0,0.0,0.5,0.34,0.71,0.57,0.83,0.66,0.38,0.34,2
Ukhrul,"1,154",12.547692900000001,47.180825799999994,0.0,0.0,0.0,0.0,0.0,0.0,0.83,1.03,0.73,1.0,2.18,3.0,0.0,1.0,2
Chandel,958,12.16310015,47.00030015,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.77,0.96,1.23,1.89,1.0,0.0,0.0,2
Mamit,"1,404",11.96472205,46.24528535,0.0,0.0,8.61,0.0,0.0,0.0,0.0,0.0,2.77,0.0,0.5,0.0,1.61,1.35,2
Kolasib,"1,803",12.1122825,46.338012549999995,0.0,0.0,3.35,0.0,0.0,0.0,0.0,2.85,2.45,2.0,0.0,0.0,4.0,0.0,2
Aizawl,"2,277",11.8635535,46.358819450000006,0.0,3.0,3.37,0.0,0.0,0.0,0.0,2.3,2.47,2.74,0.96,5.0,1.73,1.37,2
Champhai,"1,563",11.7282854,46.66409645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37,0.0,1.48,0.0,2.0,0.0,2
Serchhip,"1,351",11.6708289,46.4251151,0.0,0.0,5.96,0.0,0.0,0.0,0.0,0.0,2.26,0.0,1.0,0.0,2.0,0.0,2
Lunglei,"1,514",11.433534550000001,46.3827679,0.0,0.0,6.75,0.0,0.0,0.0,0.0,3.06,2.42,3.42,3.76,0.0,0.0,0.5,2
Lawngtlai,"1,132",11.26422225,46.4463171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.09,2.11,0.0,0.25,0.0,0.0,0.0,2
Saiha,"1,119",11.244867,46.489634499999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.24,1.0,1.7,0.0,0.0,0.0,2
West Tripura,"1,080",11.949841000000001,45.702412450000004,0.0,0.0,2.56,0.0,0.0,0.0,0.55,0.56,1.29,1.01,0.86,0.52,0.33,0.51,2
South Tripura,"1,125",11.61587465,45.77980585,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.77,1.54,1.34,0.0,0.66,0.0,0.0,2
Dhalai,"1,690",11.9233491,45.9549619,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.97,1.95,1.0,1.34,0.96,0.0,0.26,2
North Tripura,"1,195",12.039856949999999,46.131519649999994,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.04,1.64,0.78,0.64,0.63,1.0,0.05,2
West Garo Hills,"1,258",12.7839686,45.1122331,0.0,0.0,3.24,0.0,2.13,0.0,0.76,1.03,2.13,0.65,0.68,0.84,0.66,0.41,2
East Garo Hills,"1,433",12.7835846,45.26289115,0.0,0.0,2.81,0.0,2.0,0.0,1.0,0.83,2.12,6.0,0.81,0.88,3.46,0.43,2
South Garo Hills,"1,389",12.665048449999999,45.2818045,0.0,0.0,1.52,0.0,0.0,0.0,0.95,1.14,2.02,0.0,0.69,1.11,0.0,0.52,2
West Khasi Hills,"1,103",12.78123125,45.644551799999995,0.0,0.0,3.34,0.0,0.0,0.0,1.0,0.76,1.3,1.5,0.0,0.0,0.0,0.35,2
Ri Bhoi,"1,381",12.9215787,45.9928105,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.64,1.07,0.0,0.5,0.0,0.8,0.29,2
East Khasi Hills,"1,802",12.6840884,45.876940850000004,0.0,0.0,1.41,0.0,0.0,0.0,1.26,1.28,1.32,0.96,1.42,0.0,0.8,0.59,2
Jaintia Hills,"1,196",12.7510636,46.1709435,0.0,0.0,3.22,0.0,0.0,0.0,0.5,0.6,0.76,0.5,0.0,0.0,0.0,0.75,2
Kokrajhar,965,13.200718099999998,45.1333495,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.96,1.82,0.88,0.86,0.57,0.0,0.5,2
Dhubri,886,13.010349099999999,44.98717315,0.0,0.0,0.0,0.0,0.0,0.0,0.77,1.64,2.0,1.72,0.67,1.04,0.0,0.4,2
Goalpara,"1,240",13.0820671,45.31257705,0.0,0.0,0.0,0.0,0.0,0.0,0.66,1.48,2.04,0.77,0.35,0.0,0.0,0.42,2
Bongaigaon,"1,204",13.250499599999998,45.2676178,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.8,1.88,0.77,0.25,0.96,0.0,0.33,2
Barpeta,946,13.165210449999998,45.50202735,0.0,0.0,0.0,0.0,0.0,0.0,0.81,1.68,2.34,0.92,1.0,0.77,0.37,0.37,2
Kamrup,"1,034",13.158040949999998,45.79919795,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.84,2.4,0.95,0.0,0.92,0.0,0.49,2
Nalbari,"1,211",13.22230925,45.72052635,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.98,1.87,0.78,1.84,0.58,0.0,0.28,2
Darrang,"1,204",13.2261438,46.013659499999996,0.0,0.0,0.0,0.5,0.0,0.0,0.66,0.63,1.73,0.99,0.46,1.11,0.0,0.41,2
Marigaon,976,13.12644265,46.1684775,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.54,1.44,0.84,0.8,0.5,0.0,0.34,2
Nagaon,"1,001",13.173185649999999,46.3420213,0.0,0.0,1.0,0.0,0.0,0.0,0.66,0.71,1.59,1.55,0.85,1.13,0.9,0.28,2
Sonitpur,"1,043",13.336942550000002,46.42885525,0.0,0.0,3.0,0.0,0.0,0.0,0.76,0.87,2.17,0.71,0.61,0.89,0.0,0.27,2
Lakhimpur,973,13.60317935,47.0756882,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.69,1.85,1.04,0.51,0.59,0.25,0.37,2
Dhemaji,"1,006",13.740555300000002,47.278642350000005,0.0,0.0,0.0,0.89,0.0,0.0,0.73,0.88,1.66,0.77,0.54,0.51,0.0,0.2,2
Tinsukia,"1,100",13.746095449999999,47.6733875,0.0,0.0,0.0,0.0,0.0,0.0,0.82,1.34,1.99,1.72,1.43,0.0,0.0,0.46,2
Dibrugarh,"1,055",13.736416349999999,47.45598105,0.0,0.0,0.0,0.0,0.0,0.0,1.13,1.66,1.9,2.01,1.23,0.0,0.0,0.54,2
Sibsagar,"1,114",13.4913049,47.32122605,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.69,1.76,0.93,0.89,0.0,1.78,0.39,2
Jorhat,"1,108",13.373260149999998,47.10129295,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.05,1.51,1.38,0.99,1.48,0.0,0.33,2
Golaghat,998,13.261925750000001,46.9811685,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.53,1.61,0.92,0.86,0.97,0.54,0.31,2
Karbi Anglong,884,13.093042500000001,46.790634600000004,0.0,0.0,0.29,0.0,0.0,0.0,1.39,0.87,1.67,1.3,0.88,0.0,1.0,0.0,2
North Cachar Hills,943,12.673900199999999,46.5087856,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.27,1.83,0.5,0.65,0.5,0.0,0.0,2
Cachar,917,12.39106265,46.42885525,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.68,1.55,0.6,0.83,0.5,0.0,0.0,2
Karimganj,880,12.4324564,46.17957655,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.74,1.87,1.79,0.0,0.0,0.0,0.1,2
Hailakandi,810,12.3405509,46.28190275,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.85,1.86,2.0,0.5,0.0,0.0,0.23,2
Chirag,"1,166",13.26933095,45.3469561,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.85,2.35,1.21,0.0,0.96,0.2,0.25,2
Baksa,825,13.3310736,45.678887450000005,0.0,0.0,0.0,0.0,0.0,0.0,0.38,1.02,2.0,0.82,1.0,0.79,0.0,0.25,2
Guwahati,"1,952",13.07225845,45.86811825,0.0,0.0,0.0,0.0,0.0,0.0,0.73,1.17,1.83,0.78,0.77,1.0,0.0,0.88,2
Udalguri,"1,094",13.373008849999998,46.04797145,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.86,1.92,0.71,0.39,0.53,0.0,0.28,2
Darjiling,"1,618",13.5180033,44.13133755,0.0,0.0,1.57,1.0,0.0,0.0,0.51,0.59,1.17,1.01,0.46,0.0,0.0,0.3,2
Jalpaiguri,"1,068",13.271738599999999,44.360262799999994,0.0,0.0,1.73,0.75,0.0,0.0,0.68,0.62,1.3,0.96,0.77,0.84,0.0,0.29,2
Koch,973,13.167843050000002,44.7229255,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.65,1.19,0.74,0.68,0.67,0.0,0.35,2
Uttar Dinajpur,"1,023",12.990519650000001,44.0254895,0.0,0.0,0.62,0.0,0.0,0.0,0.87,0.69,1.34,0.64,0.97,0.79,1.0,0.44,2
Dakshin Dinajpur,"1,060",12.685765400000001,44.2782655,0.0,0.0,0.0,0.8,0.0,0.0,1.01,0.45,0.93,0.56,0.67,0.61,1.0,0.24,2
Maldah,987,12.58928865,44.123059149999996,0.25,0.0,0.0,0.0,0.0,0.0,1.95,0.59,0.98,0.8,1.3,1.06,0.5,0.25,2
Murshidabad,999,12.087951949999999,44.14008925,0.0,0.0,4.0,0.3,0.0,0.0,0.31,0.47,1.33,0.48,0.73,1.05,0.28,0.38,2
Birbhum,"1,070",12.17875115,43.92134835,0.0,0.0,1.9,0.0,0.0,0.0,0.53,0.54,1.28,0.54,0.75,1.1,0.46,0.3,2
Barddhaman,"1,200",11.616210699999998,43.93073965,0.0,0.0,0.2,0.0,0.0,0.0,1.08,0.53,1.22,0.57,0.35,0.32,1.07,0.49,2
Nadia,"1,062",11.35295525,44.376503799999995,0.0,0.0,0.0,0.3,0.0,0.0,0.83,0.4,1.26,0.33,0.37,0.44,0.39,0.21,2
North Twenty Four Parganas,"1,694",11.30840495,44.2014475,0.0,0.0,0.53,0.0,0.0,0.0,0.8,0.76,1.54,0.46,0.46,0.66,0.6,0.26,2
Hugli,"1,110",10.879549,43.881708950000004,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.45,1.11,0.41,0.38,0.29,0.38,0.2,2
Bankura,"1,051",11.616207300000001,43.53930220000001,0.0,0.0,5.0,0.0,0.0,0.0,0.75,0.69,1.17,0.82,0.46,0.41,0.5,0.37,2
Puruliya,907,11.666038949999999,43.182604,0.0,0.0,3.95,0.0,0.0,0.0,1.08,0.62,1.05,0.57,0.6,0.28,0.47,0.25,2
Pashim,"1,063",11.2040188,43.69053635,0.0,0.0,0.0,0.0,0.0,0.0,1.75,1.01,1.57,0.89,0.82,1.55,0.0,0.56,2
Howrah,"1,573",11.29788445,44.1318197,0.0,0.5,0.0,0.5,0.0,0.0,1.04,0.76,1.72,0.55,0.58,1.32,0.46,0.52,2
Kolkata,"2,764",11.286323,44.1819475,0.0,0.0,1.91,0.0,0.0,6.0,0.82,0.7,1.15,0.42,0.56,0.75,0.37,0.33,2
