Cluster,jowar,bajra,maize,barley,small millets,ragi,other pulses,other pulse products,arhar,moong,masur,urd,peas,khesari,other pulses,gram products,besan,other pulse products
0,0.02338113450506959,0.021903393002948874,0.04405821362743978,0.026710988083714957,0.02783629772099249,0.02341498044445072,0.5662981353717105,0.2663968572436732,0.004143658423551342,0.06833777578266072,0.1916663041642924,0.005236266439398196,0.032084427981149424,0.014412510264810116,0.4534241064395112,0.013560799254001124,0.003835273134558461,0.2132988781160671
1,0.13175275104655573,0.42056097843441986,0.14325029959585497,0.05890242410027395,0.06138392966237847,0.051634147868888536,0.07226199073931563,0.06025347855231286,0.08220086827964788,0.13312034570592646,0.060594998824374795,0.07712082778868252,0.07153179434531667,0.06101544562073158,0.11107756199631669,0.122178796263825,0.18854069082145808,0.09261867035372039
2,0.0989723342618113,0.09271705499515587,0.11107988889130103,0.11306760330690917,0.11783103861174951,0.09911560411148894,0.2249646262504089,0.14225184957117543,0.1198464083243885,0.07848865769138516,0.11546015780025337,0.08783589617416647,0.16509231253110423,0.1498941829784345,0.10070595281643477,0.03209334273971006,0.08690370836888761,0.06367938057523535
3,6.633102140561306e-10,6.213874822109845e-10,6.91296939836053e-10,7.577763696461402e-10,0.9999999953327801,6.642704051576761e-10,5.999046322070934e-10,6.69273982910345e-10,0.03955938389934692,0.05171818594770126,0.05676457722654331,0.08692571590950074,0.11292612860791672,0.20323624620797648,0.08600996845509948,0.163761093830674,0.10314305785567816,0.09595564205956295
4,0.028183786543634647,0.0142650232330395,0.011217183205115994,0.0149543585527788,0.015584372079272237,0.879830358835589,0.018902377387217967,0.017062540163351722,0.1958907004922645,0.09531454741400146,0.05720435098338415,0.08060655200843672,0.07061465614920992,0.06311045947653948,0.11837494236674309,0.09921259095002107,0.112818121994068,0.10685307816533168
5,0.12098526398123226,0.11333871690323082,0.11217471227589045,0.13821553200539122,0.14403842667703884,0.12116039919162296,0.12287460513370103,0.12721234383189237,0.1001564457688576,0.10024702672943403,0.09354523510228645,0.11163088100540362,0.09753206299624226,0.07516734842488329,0.09916178003917975,0.11387936042640688,0.10601745466294829,0.10266240484435776
