Cluster,Households,jowar,bajra,maize,barley,small millets,ragi,arhar,moong,masur,urd,peas,khesari,other pulses,gram products,besan,other pulse products
0,26114171,0.1573155954886598,0.14737288786110547,0.1707569729871597,0.1797198932142924,0.18729132888004493,0.15754332156873777,0.055824857173733436,0.149833874234911,0.2911963326317067,0.07442532898578658,0.07645215896958797,0.050833432553963574,0.105737099850783,0.06857811539427232,0.04181390744791877,0.08530489275733663
1,14430963,0.06308823689179273,0.802543266401958,0.06413408296062434,0.024063315227786132,0.025077080815409006,0.021094017702429455,0.05563709933156258,0.15010783591487986,0.05886671066389456,0.07549789649747417,0.0785189840753943,0.06880162796258649,0.1252521720969787,0.09443860651870375,0.1933577463077849,0.0995213206307408
2,118710091,0.16041485324445187,0.15027626539515254,0.15442014462044307,0.18326053564827582,0.19098113535994937,0.16064706573172732,0.10672734433809879,0.08916350468474717,0.08018563062534542,0.11277739291524996,0.0929641322992023,0.07379384363594699,0.09424402231089886,0.1174553927765168,0.1319022432208012,0.10078649319319241
3,29708651,0.1551918676119027,0.14538338447298532,0.18195158168188727,0.17729371196988733,0.18476293482615658,0.15541651943718077,0.12457474456938464,0.0733280684870831,0.09467452046866312,0.10011186830205183,0.17595816382624727,0.14015834059404553,0.09950211659491795,0.031235205395897477,0.09731027148702001,0.06314670027468905
4,10804261,0.029235229149570986,0.014797203434541805,0.011635658711315009,0.015512255544458625,0.016165772763865924,0.9126538803962477,0.1958907004922645,0.09531454741400146,0.05720435098338415,0.08060655200843672,0.07061465614920992,0.06311045947653948,0.11837494236674309,0.09921259095002107,0.112818121994068,0.10685307816533168
