District,Median Income,Latitude,Longitude,jowar,bajra,maize,barley,small millets,ragi,"arha, tur",moong,masur,urd,peas,khesari,other pulses,gram products,besan,other pulse products
Ratnagiri,-0.00456915,16.990215,73.3120233,0.304853718,0.607591242,-0.495215578,-0.207659596,-0.166393773,3.025948954,-0.242831162,0.011720334,-0.320005734,-0.568861624,-0.256766234,0.559464386,-0.407409387,-0.663258617,0.244681689,-0.070461683
Sindhudurg,0.301453019,16.3492193,73.5594128,0.451902122,-0.406093059,0.607974284,1.921776499,-0.049952845,1.588415621,-0.497932815,-0.511368164,-0.748318904,-0.559878103,-0.742164576,-0.602345242,-0.221571141,-0.663258617,-0.456614542,-0.47842462
Kolhapur,0.451068708,16.7049873,74.2432527,1.097622897,0.836193457,-0.495215578,1.601741793,-0.035878238,3.18873842,-0.091930764,-0.000847356,-0.458808583,-0.480451018,-0.600679092,-0.602345242,-0.118251759,-0.663258617,0.197352317,-0.145403442
Sangli,0.066571008,16.8523973,74.5814773,1.409197618,0.374043209,0.292777181,0.025731042,-0.049952845,-0.339358608,-0.457739866,-0.20748826,-0.673018429,-0.616642823,-0.51951147,0.559464386,-0.195725788,-0.663258617,-0.285090651,-0.230672806
Adilabad,0.093007832,19.4230512,78.4471297,0.677469903,-0.406093059,0.102069433,-0.207659596,-0.166393773,-0.339358608,0.17258814,0.480798593,-0.674316613,-0.515843153,-0.443330254,-0.602345242,-1.204195558,0.092013234,0.233601855,-0.2906162
Nizamabad,-0.506598619,18.2836461,84.0140984,0.40216493,-0.406093059,-0.495215578,-0.207659596,-0.166393773,-0.339358608,-0.018706257,0.720255519,0.017695511,-0.302461804,-1.084589471,-0.602345242,-1.204195558,-0.663258617,0.470282556,-0.870323123
Karimnagar,0.054441876,18.3890336,79.1398601,0.819958112,-0.406093059,-0.495215578,-0.207659596,-0.166393773,-0.339358608,-0.52768388,-0.163223433,-0.932942206,-0.794814347,-1.084589471,-0.602345242,-1.204195558,-0.663258617,-0.923928526,-0.2906162
Medak,-0.267322477,17.4466815,78.3573899,0.521420413,-0.406093059,-0.495215578,-0.207659596,-0.166393773,-0.339358608,-0.202617487,-0.172300793,-1.000824843,0.1654135,-1.084589471,-0.602345242,1.083773972,-0.663258617,0.252706585,1.448504567
Hyderabad and Rangar,2.462600377,17.4126274,78.267957,0.169292548,-0.406093059,-0.495215578,0.133158714,-0.166393773,0.250330995,0.983054748,-0.108796829,-0.092102652,0.190016935,-0.605127235,-0.602345242,-0.804222213,-0.187996538,0.406313674,-0.505783079
Rangareddi,0.696572659,14.9051797,79.9948481,1.157020206,-0.254851782,-0.022419923,0.025731042,-0.166393773,0.092773408,0.846115915,-0.456233363,-0.600959059,0.116416262,-0.248927625,0.559464386,-0.871481084,-0.20191987,0.775928387,-0.352224286
Mahbubnagar,-0.116236166,16.3841436,78.1108279,0.678513291,-0.406093059,-0.101219199,0.025731042,-0.166393773,0.434446475,1.269846327,-0.298186412,-0.166518639,-0.072331304,-1.084589471,-0.602345242,-0.692160661,-0.169119557,-0.447421702,-0.497511085
Nalgonda,0.105845124,17.1882998,79.1999949,0.158977373,-0.406093059,-0.495215578,-0.207659596,-0.166393773,0.128957219,0.405129839,-0.205764706,-0.499528492,0.436299862,-1.084589471,-0.021440428,-0.639871499,-0.062749048,1.751301045,-0.200460945
