District,rice-om,wheat-om
Bhojpur,27.57,24.94
Buxar,27.63,27.01
Kaimur (Bhabua),27.56,27.90
Rohtas,32.18,29.76
Jehanabad,34.95,36.68
Aurangabad,32.48,30.01
Gaya,36.14,37.01
Nawada,34.64,36.08
Jamui,24.13,27.16
Arwal,32.99,38.09
North Sikkim,28.95,3.31
West Sikkim,27.47,2.76
South Sikkim,24.05,3.12
East Sikkim,25.43,3.38
Tawang,14.85,5.60
West Kameng,27.72,5.70
East  Kameng,69.18,10.17
Papum Pare,38.93,5.37
Lower Subansiri,50.69,6.10
Upper Subansiri,54.98,4.84
West Siang,45.50,4.18
East Siang,53.68,6.21
Upper Siang,59.26,4.26
Dibang Valley,44.68,0.00
Lohit,35.21,6.00
Changlang,37.73,5.41
Tirap,38.71,10.17
Anjaw,19.74,7.34
Kurungkumey,46.93,1.67
Lower Dibang Valley,41.81,10.81
Mon,59.85,1.00
Tuensang,69.98,0.00
Mokokchung,70.95,0.00
Zunheboto,69.50,30.00
Wokha,61.29,1.00
Dimapur,54.58,25.07
Kohima,59.22,2.54
Phek,67.48,1.00
Kiphire,67.57,2.00
Longleng,65.66,7.00
Peren,61.66,0.00
Senapati,79.80,0.00
Tamenglong,76.72,0.00
Churachandpur,83.43,1.00
Bishnupur,65.57,1.61
Thoubal,71.91,1.21
Imphal West,61.09,2.53
Imphal East,66.80,1.81
Ukhrul,82.67,10.00
Chandel,78.69,0.00
Mamit,36.61,5.76
Kolasib,42.70,23.91
Aizawl,35.66,2.76
Champhai,36.23,4.62
Serchhip,35.39,2.78
Lunglei,30.94,3.27
Lawngtlai,31.71,4.79
Saiha,31.29,10.00
West Tripura,31.21,2.69
South Tripura,30.92,3.16
Dhalai,41.00,2.25
North Tripura,42.00,2.52
West Garo Hills,41.38,2.05
East Garo Hills,42.89,2.18
South Garo Hills,40.55,1.86
West Khasi Hills,35.71,1.65
Ri Bhoi,35.61,1.39
East Khasi Hills,34.08,4.22
Jaintia Hills,36.00,1.54
Kokrajhar,39.15,2.52
Dhubri,47.90,2.65
Goalpara,41.88,2.44
Bongaigaon,33.79,2.32
Barpeta,44.60,3.03
Kamrup,36.33,3.03
Nalbari,39.05,2.92
Darrang,45.81,2.78
Marigaon,44.14,2.81
Nagaon,50.43,3.09
Sonitpur,51.49,6.59
Lakhimpur,43.82,2.73
Dhemaji,43.11,3.62
Tinsukia,37.44,8.18
Dibrugarh,42.53,6.82
Sibsagar,42.30,3.96
Jorhat,49.94,9.75
Golaghat,44.32,4.60
Karbi Anglong,51.42,1.83
North Cachar Hills,55.47,1.99
Cachar,50.93,2.72
Karimganj,52.26,1.53
Hailakandi,52.78,2.31
Chirag,47.98,2.15
Baksa,45.52,1.63
Guwahati,32.80,3.57
Udalguri,45.46,3.11
Darjiling,33.14,4.55
Jalpaiguri,34.63,5.01
Koch,33.03,3.54
Uttar Dinajpur,42.94,6.08
Dakshin Dinajpur,37.47,3.47
Maldah,38.20,8.62
Murshidabad,34.93,8.53
Birbhum,35.86,3.85
Barddhaman,35.59,10.41
Nadia,33.12,7.61
North Twenty Four Parganas,31.02,7.85
Hugli,26.43,8.49
Bankura,31.03,10.61
Puruliya,30.77,10.82
Pashim,47.24,7.52
Howrah,24.93,13.02
Kolkata,20.03,8.87
South Twenty Four Parganas,38.59,6.75
Purba Midanapur,45.63,4.61
Garhwa,31.34,13.27
Palamu,33.04,16.65
Chatra,44.78,23.94
Hazaribagh,40.59,24.57
Kodarma,35.07,23.28
Giridih,41.48,25.88
Deoghar,36.05,23.61
Godda,36.77,17.82
Sahibganj,36.11,15.97
Pakaur,39.26,23.91
Dumka,36.91,27.56
Dhanbad,35.77,22.92
Bokaro,33.09,21.84
Ranchi,26.59,15.74
Lohardaga,32.45,9.95
Gumla,27.49,7.14
Pashchimi Singhbum,24.33,10.16
Purbi Singhbum,24.75,16.27
Latehar,24.61,13.10
Simdega,29.44,7.20
Jamtara,28.26,20.70
Seraikela-kharsawan,28.41,12.62
Bargarh,36.19,2.86
Jharsuguda,33.21,7.23
Sambalpur,36.26,6.89
Debagarh,37.09,2.85
Sundargarh,36.05,5.64
Kendujhar,46.59,6.74
Mayurbhanj,42.80,5.36
Baleshwar,38.35,6.12
Bhadrak,53.15,3.84
Kendrapara,40.15,7.24
Jagatsinghapur,46.38,5.54
Cuttack,32.89,7.82
Jajapur,34.97,5.72
Dhenkanal,47.75,7.06
Anugul,40.01,5.66
Nayagarh,33.96,2.62
Khordha,30.30,7.88
Puri,38.69,3.91
Ganjam,43.91,3.21
Gajapati,30.96,2.10
Kandhamal,35.94,3.29
Baudh,40.64,4.56
Sonapur,30.41,2.28
Balangir,31.32,3.29
Nuapada,35.90,2.56
Kalahandi,29.33,2.01
Rayagada,34.72,2.01
Nabarangapur,29.27,2.22
Koraput,27.54,3.53
Malkangiri,26.17,3.06
Koriya,36.08,4.82
Surguja,36.17,5.66
Jashpur,38.00,7.14
Raigarh,37.38,5.50
Korba,35.89,6.37
Janjgir,49.38,5.41
Bilaspur,37.54,8.23
Kawardha,37.78,8.06
Rajnandgaon,50.00,10.73
Durg,39.26,10.81
Raipur,36.34,11.95
Mahasamund,40.11,5.27
Dhamtari,39.19,9.14
Kanker,29.15,5.58
Bastar,32.09,7.05
Dantewada*,26.08,23.88
Narayanpur,41.95,8.27
Bijapur,28.02,15.41
Sheopur,1.62,29.79
Morena,2.69,36.54
Bhind,2.53,47.15
Gwalior,3.35,27.89
Datia,2.27,41.92
Shivpuri,4.20,50.51
Guna,3.75,48.34
Tikamgarh,6.67,50.73
Chhatarpur,6.11,50.50
Panna,14.72,23.14
Sagar,6.76,35.17
Damoh,12.20,29.94
Satna,21.99,30.64
Rewa,19.64,28.57
Umaria,20.99,16.38
Shahdol,23.95,22.39
Sidhi,27.31,23.56
Neemuch,2.56,34.86
Mandsaur,2.85,34.73
Ratlam,2.73,43.14
Ujjain,2.35,50.24
Shajapur,2.14,44.52
Dewas,2.53,45.60
Jhabua,3.62,31.23
Dhar,5.33,51.74
Indore,4.46,45.04
West Nimar,4.58,46.08
Barwani,4.22,32.70
